branching_types,n_end,uscat,device,dtype,density_dtype,density_device,uscat_dtype,uscat_device
caa,1,(-0.3669624119433013-0.40697555875254243j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
caa,2,(-0.44076872289180896-0.4279663938583859j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
caa,3,(-0.45490115562643646-0.42320963989669524j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
caa,4,(-0.45466616151681216-0.42333644501392703j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
caa,5,(-0.45465930345348665-0.4233802750010047j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
bpbpa,1,(-0.48268993078657213-0.5353218691958108j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
bpbpa,2,(-0.43994348104509473-0.4271651215383308j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
bpbpa,3,(-0.4552233925709694-0.42322762047731755j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
bpbpa,4,(-0.4546587506224462-0.42333616010385666j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
bpbpa,5,(-0.45465977498365123-0.423380270179162j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
bpbpa,6,(-0.45465085695350127-0.42338664763455697j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
bba,1,(-0.48268993078657213-0.5353218691958108j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
bba,2,(-0.4386739522722528-0.4259324668090023j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
bba,3,(-0.45611488033891345-0.4232685001389426j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
bba,4,(-0.45465723784068834-0.42333605736538926j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
bba,5,(-0.454661445454795-0.4233802528966883j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
bba,6,(-0.4546508564935605-0.4233866476381493j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
bpa,1,(-0.7212634674645428-1.035771016852753j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
bpa,2,(-0.7117843693960788-0.6814351060169785j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
bpa,3,(-0.7464009749573394-0.668001180993411j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
bpa,4,(-0.7412931988431111-0.6694095394088428j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
bpa,5,(-0.7413488100815726-0.6696323749458585j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
bpa,6,(-0.7413330351064383-0.6696574188787555j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
bpa,7,(-0.7413323827164802-0.6696600520117129j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
bpa,8,(-0.7413322560248659-0.6696603482571968j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
bpa,9,(-0.7413322261370308-0.6696603862840307j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,1,(-0.7212634674645428-1.035771016852753j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,2,(-0.7080011204440768-0.6778131683044611j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,3,(-0.7457763906050541-0.6679929362532153j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,4,(-0.7412665615983107-0.6694083797300009j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,5,(-0.7413481835917387-0.6696324021686495j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,6,(-0.7413330133126677-0.6696574197990697j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,7,(-0.7413323819006659-0.6696600520161877j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,8,(-0.7413322560671671-0.6696603482147692j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,9,(-0.7413322235276809-0.6696603848163007j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,1,(-0.7009373613473742-1.0811585241050148j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,2,(-1.2724444176210565-0.651223256178195j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,3,(-1.3533486331756504-0.6501711414856095j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,4,(-1.3552176364986956-0.6573233924845587j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,5,(-1.3559111663498638-0.6577711312734444j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,6,(-1.3559303483471061-0.6578098850953691j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,7,(-1.3559331961626753-0.6578131178077158j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,8,(-1.355933345272884-0.6578134159947804j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,9,(-1.3559333539591105-0.6578134556369332j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
